d	Charles Tag	Categories	Adrien Tag	
We need certain permissions from you to provide our services: Permission to use content you create and share	content_licence	content Licence	content_licence	
You give us permission to use your name and profile picture and information about actions you have taken on Facebook next to or in connection with ads, offers, and other sponsored content	content_licence	content Licence	content_licence	
Permission to update software you use or download	acceptable_consent	acceptable_consent	acceptable_consent	
This means, for example, that if you share a photo on Facebook, you give us permission to store, copy, and share it with others	content_licence	content Licence	content_licence	
We need to store and distribute content and data in our data centers and systems around the world	data_management	data management	data_management	
We must collect and use your personal data	personnal_information	personnal information	personnal_information	
We do not control or direct what people and others do or say, and we are not responsible for their actions or conduct	acceptable_consent	acceptable_consent	acceptable_consent	
These Terms do not confer any third-party beneficiary rights	acceptable_consent	acceptable_consent	acceptable_consent	
We may also disable your account if you repeatedly infringe other people's intellectual property rights	acceptable_consent	acceptable_consent	acceptable_consent	
You own the content you create and share on Facebook and the other Facebook Products you use, and nothing in these Terms takes away the rights you have to your own content	acceptable_consent	acceptable_consent	acceptable_consent	
To provide the Facebook Products, we must process information about you.	acceptable_consent	acceptable_consent	acceptable_consent	
If you download or use our software, you give us permission to download and install upgrades, updates, and additional features to improve, enhance, and further develop it	acceptable_consent	acceptable_consent	acceptable_consent	
we collect information about the purchase or transaction	non_personnal_information	non personnal information	non_personnal_information	
This includes payment information, such as your credit or debit card number and other card information; other account and authentication information; and billing, shipping and contact details.	personnal_information	personnal information	personnal_information	
We collect information about how you use our Products, such as the types of content you view or engage with	non_personnal_information	non personnal information	non_personnal_information	
we log when you're using and have last used our Products	acceptable_consent	acceptable_consent	acceptable_consent	
We use the information we have to deliver our Products, including to personalize features and content	acceptable_consent	acceptable_consent	acceptable_consent	
We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near	non_personnal_information	non personnal information	non_personnal_information	
we use face recognition technology to recognize you in photos, videos and camera experiences	personnal_information	personnal information	personnal_information	
We use the information we have to send you marketing communications, communicate with you about our Products, and let you know about our policies and terms.	acceptable_consent	acceptable_consent	acceptable_consent	
We will not provide any compensation for Your participation and Your participation may be suspended at any time	acceptable_consent	acceptable_consent	acceptable_consent	
You understand and agree that your participation in the applicable Program is completely voluntary	acceptable_consent	acceptable_consent	acceptable_consent	
we build systems that try to understand who and what you and others care about	acceptable_consent	acceptable_consent	acceptable_consent	
we use that information to help you create, find, join, and share in experiences that matter to you	acceptable_consent	acceptable_consent	acceptable_consent	
we are using cutting-edge technologies that help us personalize, protect, and improve our Service	acceptable_consent	acceptable_consent	acceptable_consent	
